time,total,gasoline,diesel,fgas,ngas,electricity,petroleum,hydrogen,methanol,ethanol,pluginhybrid,otherfuels,year
2021-12-01 00:00:00+00:00,3.204309,1877565,1177906,15,600,69303,0,177,0,0,78738,5,2021.9166666666667
2022-01-01 00:00:00+00:00,3.202713,1876599,1173468,15,603,71966,0,178,0,0,79879,5,2022.0
2022-02-01 00:00:00+00:00,3.20372,1875644,1170587,15,598,74794,0,178,0,0,81899,5,2022.0833333333333
2022-03-01 00:00:00+00:00,3.209522,1876339,1167790,16,595,79797,0,176,0,0,84804,5,2022.1666666666667
2022-04-01 00:00:00+00:00,3.215399,1878587,1165947,19,594,83163,0,174,0,0,86910,5,2022.25
2022-05-01 00:00:00+00:00,3.21942,1879154,1162839,19,596,87042,0,174,0,0,89591,5,2022.3333333333333
2022-06-01 00:00:00+00:00,3.223647,1877996,1160297,18,598,91765,0,168,0,0,92800,5,2022.4166666666667
2022-07-01 00:00:00+00:00,3.222857,1875337,1156680,17,597,95105,0,165,0,0,94952,4,2022.5
2022-08-01 00:00:00+00:00,3.223624,1873919,1152593,14,591,99016,0,167,0,0,97321,3,2022.5833333333333
2022-09-01 00:00:00+00:00,3.218379,1869041,1146413,14,588,103010,0,151,0,0,99159,3,2022.6666666666667
2022-10-01 00:00:00+00:00,3.210424,1863468,1139461,14,585,106122,0,149,0,0,100622,3,2022.75
2022-11-01 00:00:00+00:00,3.207359,1859966,1133534,14,591,110404,0,150,0,0,102697,3,2022.8333333333333
2022-12-01 00:00:00+00:00,3.209511,1856955,1128321,14,583,117266,0,151,0,0,106218,3,2022.9166666666667
2023-01-01 00:00:00+00:00,3.205688,1855921,1122252,15,579,119906,0,147,0,0,106865,3,2023.0
2023-02-01 00:00:00+00:00,3.204567,1854688,1116931,14,593,124147,0,150,0,0,108037,7,2023.0833333333333
2023-03-01 00:00:00+00:00,3.210827,1854970,1112996,15,591,132232,0,145,0,0,109869,9,2023.1666666666667
2023-04-01 00:00:00+00:00,3.216852,1857177,1110303,15,594,137237,0,144,0,0,111370,12,2023.25
2023-05-01 00:00:00+00:00,3.221263,1857048,1106950,16,577,143556,0,143,0,0,112957,16,2023.3333333333333
2023-06-01 00:00:00+00:00,3.228278,1856649,1103078,16,558,152173,0,142,0,0,115643,19,2023.4166666666667
2023-07-01 00:00:00+00:00,3.227684,1854612,1097265,16,556,158000,0,141,0,0,117078,16,2023.5
2023-08-01 00:00:00+00:00,3.228835,1851651,1091900,16,552,166046,0,138,0,0,118515,17,2023.5833333333333
2023-09-01 00:00:00+00:00,3.226588,1845911,1084498,16,550,175592,0,88,0,0,119917,16,2023.6666666666667
2023-10-01 00:00:00+00:00,3.220559,1838787,1075629,16,533,184125,0,65,0,0,121388,16,2023.75
2023-11-01 00:00:00+00:00,3.22192,1835019,1068514,16,533,194948,0,59,0,0,122815,16,2023.8333333333333
2023-12-01 00:00:00+00:00,3.227541,1831941,1062385,16,533,207888,0,47,0,0,124717,14,2023.9166666666667
